"filename","handle"
tas_mon_ACCESS-CM2_historical_r1i1p1f1_native.nc,hdl:21.14100/d893128b-e107-4dcc-b543-46c77896f295
tas_mon_ACCESS-CM2_historical_r2i1p1f1_native.nc,hdl:21.14100/b07a2106-b2ca-4e4e-b59c-96f46bd3c589
tas_mon_ACCESS-CM2_historical_r3i1p1f1_native.nc,hdl:21.14100/15f1772d-2c01-4df4-9263-95d5a1d75816
tas_mon_ACCESS-CM2_ssp245_r1i1p1f1_native.nc,hdl:21.14100/5539b9f2-92df-4832-9963-6db728b08676
tas_mon_ACCESS-CM2_ssp245_r2i1p1f1_native.nc,hdl:21.14100/72ff43fb-bde1-4bad-9914-0b6eb3ea21e7
tas_mon_ACCESS-CM2_ssp245_r3i1p1f1_native.nc,hdl:21.14100/c596d6ea-98bb-4e6d-90f8-9e173b143a39
tas_mon_ACCESS-ESM1-5_historical_r10i1p1f1_native.nc,hdl:21.14100/af78ae5e-f3a6-4e99-8cfe-5f29eb467cd1
tas_mon_ACCESS-ESM1-5_historical_r11i1p1f1_native.nc,hdl:21.14100/554df8e8-68db-49db-a476-1fda9e2a55a3
tas_mon_ACCESS-ESM1-5_historical_r12i1p1f1_native.nc,hdl:21.14100/5758b82f-4a14-40b5-a5f8-dc11879fbeab
tas_mon_ACCESS-ESM1-5_historical_r13i1p1f1_native.nc,hdl:21.14100/02c9a351-10e5-4ff7-bfbc-839a29de4fe3
tas_mon_ACCESS-ESM1-5_historical_r14i1p1f1_native.nc,hdl:21.14100/af1e2154-eef7-4103-a91b-14f90573965b
tas_mon_ACCESS-ESM1-5_historical_r15i1p1f1_native.nc,hdl:21.14100/37655ea5-e14f-469c-b1bc-4c5cdcc9730a
tas_mon_ACCESS-ESM1-5_historical_r16i1p1f1_native.nc,hdl:21.14100/f313f7cd-fafc-4b3f-a39f-189eee41bcb0
tas_mon_ACCESS-ESM1-5_historical_r17i1p1f1_native.nc,hdl:21.14100/73a1c57b-8fd0-467e-a602-f2852d6f34b1
tas_mon_ACCESS-ESM1-5_historical_r18i1p1f1_native.nc,hdl:21.14100/fd9db9ed-a449-447a-b08f-c8e57f826d86
tas_mon_ACCESS-ESM1-5_historical_r19i1p1f1_native.nc,hdl:21.14100/c8be2525-e0f2-429a-89c3-b608355abb7b
tas_mon_ACCESS-ESM1-5_historical_r1i1p1f1_native.nc,hdl:21.14100/d2debfa6-c0e2-4339-bac8-08d97867ae3a
tas_mon_ACCESS-ESM1-5_historical_r20i1p1f1_native.nc,hdl:21.14100/b60d84e2-66e7-4141-8d95-5c1ce3bc9430
tas_mon_ACCESS-ESM1-5_historical_r2i1p1f1_native.nc,hdl:21.14100/cea38f36-270b-4a55-8bad-5837ffe16727
tas_mon_ACCESS-ESM1-5_historical_r3i1p1f1_native.nc,hdl:21.14100/160f2d8c-0e23-468b-8961-5d9c2688f063
