"Q05" "mean" "Q95"
"1850" -0.96 -0.823 -0.685
"1851" -0.947 -0.812 -0.676
"1852" -0.937 -0.804 -0.67
"1853" -0.955 -0.823 -0.691
"1854" -0.971 -0.84 -0.71
"1855" -0.967 -0.838 -0.709
"1856" -0.963 -0.835 -0.707
"1857" -0.979 -0.853 -0.726
"1858" -0.974 -0.848 -0.723
"1859" -0.958 -0.835 -0.711
"1860" -0.942 -0.82 -0.698
"1861" -0.938 -0.817 -0.696
"1862" -1.027 -0.904 -0.781
"1863" -1.051 -0.928 -0.804
"1864" -1.034 -0.912 -0.79
"1865" -1.006 -0.887 -0.768
"1866" -0.981 -0.864 -0.746
"1867" -0.961 -0.845 -0.729
"1868" -0.944 -0.829 -0.714
"1869" -0.929 -0.815 -0.701
"1870" -0.917 -0.804 -0.691
"1871" -0.907 -0.794 -0.681
"1872" -0.899 -0.787 -0.675
"1873" -0.924 -0.812 -0.7
"1874" -0.927 -0.815 -0.703
"1875" -0.929 -0.817 -0.705
"1876" -0.928 -0.817 -0.705
"1877" -0.922 -0.811 -0.7
"1878" -0.916 -0.805 -0.694
"1879" -0.91 -0.799 -0.688
"1880" -0.909 -0.799 -0.688
"1881" -0.907 -0.796 -0.686
"1882" -0.9 -0.789 -0.679
"1883" -0.953 -0.841 -0.729
"1884" -1.169 -1.042 -0.915
"1885" -1.206 -1.075 -0.944
"1886" -1.166 -1.04 -0.913
"1887" -1.13 -1.007 -0.883
"1888" -1.08 -0.961 -0.841
"1889" -1.034 -0.918 -0.802
"1890" -1.015 -0.9 -0.785
"1891" -1.023 -0.907 -0.791
"1892" -1.001 -0.887 -0.772
"1893" -0.967 -0.854 -0.741
"1894" -0.938 -0.825 -0.713
"1895" -0.917 -0.805 -0.693
"1896" -0.904 -0.792 -0.68
"1897" -0.895 -0.783 -0.672
"1898" -0.889 -0.777 -0.665
"1899" -0.884 -0.772 -0.661
"1900" -0.881 -0.769 -0.657
"1901" -0.878 -0.767 -0.655
"1902" -0.889 -0.777 -0.666
"1903" -0.994 -0.879 -0.765
"1904" -1.019 -0.903 -0.787
"1905" -0.994 -0.88 -0.765
"1906" -0.958 -0.846 -0.733
"1907" -0.948 -0.836 -0.724
"1908" -0.93 -0.819 -0.707
"1909" -0.908 -0.797 -0.687
"1910" -0.892 -0.782 -0.672
"1911" -0.881 -0.771 -0.662
"1912" -0.927 -0.816 -0.706
"1913" -0.972 -0.86 -0.748
"1914" -0.963 -0.852 -0.741
"1915" -0.931 -0.822 -0.712
"1916" -0.899 -0.791 -0.683
"1917" -0.872 -0.764 -0.657
"1918" -0.85 -0.743 -0.636
