"Q05" "mean" "Q95"
"1850" -1.22 -0.814 -0.408
"1851" -1.209 -0.803 -0.397
"1852" -1.2 -0.795 -0.39
"1853" -1.217 -0.815 -0.413
"1854" -1.232 -0.832 -0.433
"1855" -1.228 -0.83 -0.432
"1856" -1.224 -0.827 -0.43
"1857" -1.239 -0.845 -0.45
"1858" -1.234 -0.84 -0.447
"1859" -1.22 -0.827 -0.434
"1860" -1.205 -0.812 -0.419
"1861" -1.201 -0.809 -0.417
"1862" -1.284 -0.898 -0.511
"1863" -1.307 -0.922 -0.536
"1864" -1.29 -0.906 -0.521
"1865" -1.265 -0.88 -0.496
"1866" -1.241 -0.857 -0.473
"1867" -1.222 -0.838 -0.454
"1868" -1.206 -0.822 -0.439
"1869" -1.191 -0.808 -0.425
"1870" -1.18 -0.797 -0.414
"1871" -1.169 -0.787 -0.404
"1872" -1.162 -0.78 -0.398
"1873" -1.185 -0.806 -0.426
"1874" -1.187 -0.809 -0.431
"1875" -1.189 -0.811 -0.434
"1876" -1.187 -0.811 -0.434
"1877" -1.181 -0.805 -0.43
"1878" -1.174 -0.799 -0.424
"1879" -1.168 -0.794 -0.42
"1880" -1.167 -0.794 -0.42
"1881" -1.164 -0.792 -0.419
"1882" -1.156 -0.785 -0.413
"1883" -1.206 -0.838 -0.469
"1884" -1.414 -1.042 -0.669
"1885" -1.451 -1.076 -0.701
"1886" -1.411 -1.04 -0.669
"1887" -1.375 -1.007 -0.638
"1888" -1.325 -0.96 -0.595
"1889" -1.28 -0.917 -0.554
"1890" -1.261 -0.899 -0.538
"1891" -1.267 -0.906 -0.546
"1892" -1.245 -0.886 -0.527
"1893" -1.21 -0.853 -0.495
"1894" -1.181 -0.824 -0.468
"1895" -1.159 -0.804 -0.448
"1896" -1.145 -0.791 -0.436
"1897" -1.135 -0.782 -0.428
"1898" -1.127 -0.775 -0.423
"1899" -1.121 -0.771 -0.42
"1900" -1.117 -0.768 -0.418
"1901" -1.113 -0.766 -0.418
"1902" -1.122 -0.776 -0.43
"1903" -1.224 -0.88 -0.535
"1904" -1.248 -0.904 -0.559
"1905" -1.222 -0.88 -0.539
"1906" -1.185 -0.846 -0.507
"1907" -1.174 -0.836 -0.499
"1908" -1.155 -0.819 -0.483
"1909" -1.131 -0.797 -0.463
"1910" -1.114 -0.782 -0.449
"1911" -1.102 -0.771 -0.441
"1912" -1.146 -0.817 -0.488
"1913" -1.191 -0.862 -0.533
"1914" -1.181 -0.854 -0.527
"1915" -1.148 -0.823 -0.499
"1916" -1.114 -0.792 -0.47
"1917" -1.085 -0.766 -0.446
"1918" -1.062 -0.744 -0.427
"1919" -1.047 -0.731 -0.415
"1920" -1.037 -0.723 -0.409
"1921" -1.031 -0.719 -0.407
"1922" -1.041 -0.731 -0.421
"1923" -1.044 -0.735 -0.427
"1924" -1.034 -0.728 -0.421
"1925" -1.023 -0.719 -0.415
"1926" -1.011 -0.709 -0.407
"1927" -0.998 -0.698 -0.398
"1928" -0.992 -0.694 -0.396
"1929" -1.008 -0.713 -0.417
"1930" -0.996 -0.702 -0.409
"1931" -0.987 -0.695 -0.404
"1932" -1.001 -0.711 -0.422
"1933" -0.996 -0.709 -0.422
"1934" -0.986 -0.701 -0.416
"1935" -0.973 -0.691 -0.408
"1936" -0.957 -0.677 -0.397
"1937" -0.943 -0.665 -0.387
"1938" -0.932 -0.657 -0.382
"1939" -0.923 -0.65 -0.377
"1940" -0.917 -0.647 -0.376
"1941" -0.913 -0.645 -0.377
"1942" -0.91 -0.645 -0.379
"1943" -0.909 -0.646 -0.383
"1944" -0.907 -0.646 -0.385
"1945" -0.9 -0.641 -0.383
"1946" -0.891 -0.635 -0.38
"1947" -0.878 -0.625 -0.372
"1948" -0.866 -0.615 -0.365
"1949" -0.856 -0.608 -0.361
"1950" -0.851 -0.606 -0.361
"1951" -0.85 -0.608 -0.365
"1952" -0.848 -0.608 -0.368
"1953" -0.847 -0.609 -0.371
"1954" -0.844 -0.609 -0.373
"1955" -0.837 -0.605 -0.372
"1956" -0.824 -0.594 -0.364
"1957" -0.806 -0.579 -0.351
"1958" -0.789 -0.565 -0.34
"1959" -0.778 -0.556 -0.335
"1960" -0.77 -0.551 -0.331
"1961" -0.767 -0.55 -0.333
"1962" -0.789 -0.573 -0.358
"1963" -0.898 -0.675 -0.451
"1964" -0.976 -0.743 -0.51
"1965" -0.99 -0.756 -0.521
"1966" -0.934 -0.709 -0.484
"1967" -0.915 -0.694 -0.473
