year,raw 17th percentile ,83rd precentile,5th percentile,95th percentile,mean ,median
2010,0.10419723,0.190621758,0.082175085,0.232178289,0.146372955,0.137575003
2011,0.117364808,0.226479831,0.100805107,0.273460217,0.174011208,0.164374203
2012,0.137698138,0.252690448,0.113941024,0.312555735,0.200247696,0.19039611
2013,0.152998414,0.283891315,0.134593904,0.350322618,0.226663481,0.221497958
2014,0.17731855,0.314003887,0.152174844,0.38933567,0.253417136,0.247599987
2015,0.201105587,0.348073835,0.168566453,0.431376673,0.28084648,0.261645129
2016,0.218572568,0.389190767,0.180545089,0.476854158,0.309905061,0.293740707
2017,0.241087775,0.427221477,0.196001836,0.526772497,0.340203182,0.327113816
2018,0.267799593,0.459660109,0.214601303,0.575206459,0.36929759,0.353794162
2019,0.28431994,0.49141497,0.233062165,0.620579371,0.398397309,0.3819521
2020,0.304409857,0.532559608,0.246646642,0.668779701,0.429302404,0.416340567
2021,0.327951842,0.573405266,0.261518703,0.717080676,0.45904281,0.442305064
2022,0.349554866,0.614302676,0.279252473,0.758491962,0.487126642,0.463527102
2023,0.37231358,0.64820585,0.300927016,0.803412796,0.514796122,0.491334718
2024,0.39057917,0.6879953,0.31300863,0.849306058,0.543583308,0.524949197
2025,0.407218884,0.723671101,0.324095072,0.889497356,0.572412205,0.554845134
2026,0.425910032,0.762798708,0.345053364,0.930648334,0.600695676,0.579789628
2027,0.441824301,0.799011529,0.366045089,0.969984988,0.628219745,0.605274581
2028,0.45321501,0.837399614,0.384041625,1.006779089,0.654670721,0.627621581
2029,0.470741244,0.879466298,0.402721755,1.038701663,0.6829307,0.655717223
2030,0.490263122,0.915709225,0.420145546,1.071955975,0.710581867,0.688674309
2031,0.501119661,0.948895526,0.434670548,1.102935345,0.734043243,0.710155911
2032,0.521962442,0.987295056,0.446273,1.131298916,0.757752456,0.731864099
2033,0.539553093,1.028773522,0.458700346,1.156669739,0.780995578,0.755001748
2034,0.555408095,1.065930164,0.470336812,1.180497413,0.803026909,0.775043674
2035,0.565549034,1.100158827,0.478123453,1.203931722,0.823063878,0.797754794
2036,0.577178838,1.131049454,0.486588185,1.226251064,0.842595039,0.825612255
2037,0.59062957,1.167600743,0.492605281,1.251036442,0.861871059,0.861813618
2038,0.605776434,1.19574565,0.496414687,1.275530966,0.881174865,0.887104223
2039,0.622306681,1.219922587,0.500759803,1.296658623,0.9006065,0.904917306
2040,0.631996354,1.24620936,0.510167552,1.319352582,0.918964089,0.931382114
2041,0.643943289,1.275238919,0.519026355,1.350763844,0.938167592,0.952632266
2042,0.657355174,1.30065563,0.530279445,1.378100396,0.956756705,0.971278076
2043,0.665151732,1.333346219,0.535211942,1.404585006,0.973097518,0.98499314
2044,0.67576468,1.363103141,0.546904138,1.431848947,0.986954262,0.998014784
2045,0.683899662,1.391255588,0.559440951,1.459287312,1.000508725,1.012565204
2046,0.68589289,1.41262808,0.565779129,1.483846122,1.013890239,1.024351484
2047,0.693772333,1.433339781,0.574646281,1.508598633,1.026706272,1.040904831
2048,0.699576883,1.451592392,0.580191165,1.542056486,1.040132286,1.051068249
2049,0.701551197,1.467359057,0.585981815,1.563498432,1.051226714,1.063523947
2050,0.701065155,1.482718479,0.599300469,1.581418625,1.062052006,1.07296362
2051,0.702831175,1.497071656,0.608465408,1.601856324,1.074545957,1.079195534
2052,0.700795761,1.510588696,0.616210768,1.613998413,1.084092865,1.090368331
2053,0.708115468,1.523957505,0.618245227,1.625521767,1.092741066,1.100881644
2054,0.700227308,1.534786947,0.619055867,1.64118556,1.101600053,1.109445906
2055,0.705043614,1.546202568,0.622346644,1.657849992,1.110884752,1.119191347
2056,0.706968947,1.557772165,0.630059306,1.673735046,1.119712554,1.12718906
2057,0.706827042,1.565474635,0.639785623,1.693059126,1.128284157,1.13972096
2058,0.707598508,1.575113488,0.638310561,1.70373006,1.135361559,1.153257309
2059,0.706692144,1.581633016,0.63620454,1.720423517,1.14141243,1.16370514
2060,0.703780605,1.589273721,0.643239592,1.73503497,1.148314737,1.168785334
2061,0.706718161,1.594818735,0.648457066,1.753691754,1.154029798,1.169587286
2062,0.710989525,1.601540087,0.651885949,1.762120815,1.158905543,1.171415904
2063,0.719678488,1.605794729,0.657009544,1.7770888,1.163858162,1.17371747
2064,0.728035446,1.610505397,0.663388134,1.802328683,1.170466169,1.172171517
2065,0.733608306,1.618354991,0.670196122,1.816109248,1.176729488,1.172785528
2066,0.739863083,1.629327828,0.673036552,1.825435222,1.180179909,1.174845705
