year,raw 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2010,0.099166144,0.165879026,0.078538459,0.236095352,0.142243874,0.144461693
2011,0.122241638,0.199036482,0.094523043,0.280562991,0.169002476,0.169176263
2012,0.138109971,0.235776457,0.110171981,0.319874686,0.194345718,0.186690797
2013,0.157568119,0.266661267,0.120931646,0.355790226,0.221057497,0.217430042
2014,0.174845881,0.294218247,0.131611197,0.395013007,0.247327634,0.24644232
2015,0.190400799,0.323704129,0.151949833,0.439996631,0.273196635,0.268510886
2016,0.211780299,0.356091032,0.174130037,0.491071937,0.301098976,0.286755086
2017,0.239952016,0.387450857,0.196428098,0.541158047,0.330187857,0.311630867
2018,0.258543259,0.426018546,0.208940793,0.590817559,0.358746364,0.338370971
2019,0.275856928,0.469575643,0.226272356,0.63942524,0.388066966,0.368297
2020,0.295769329,0.511785714,0.253342229,0.691813551,0.420810307,0.396595574
2021,0.311734569,0.546965883,0.27891744,0.741951782,0.451330785,0.420750666
2022,0.328188134,0.583561721,0.304419999,0.787681569,0.480973135,0.45067043
2023,0.353001412,0.616458498,0.32830623,0.83709753,0.509995107,0.47889053
2024,0.380982916,0.655668542,0.341869429,0.887555657,0.539231244,0.499145655
2025,0.405112584,0.693167747,0.357457712,0.936100164,0.568658769,0.526714554
2026,0.429389131,0.732092627,0.376303906,0.979638898,0.597277643,0.5572382
2027,0.451683231,0.765069024,0.393966861,1.013207604,0.627094485,0.582872154
2028,0.476364083,0.798719672,0.417017389,1.052637265,0.658651442,0.613831007
2029,0.502929327,0.836392694,0.432525744,1.093810829,0.690832706,0.642798174
2030,0.544752588,0.87074368,0.44564378,1.131098271,0.721275144,0.678185537
2031,0.558884036,0.911742293,0.466828381,1.172378164,0.751124632,0.716141397
2032,0.572877886,0.944144316,0.490627026,1.206542114,0.778275528,0.75151339
2033,0.591193365,0.980151036,0.51208564,1.241567265,0.804746619,0.785861191
2034,0.616414976,1.019841406,0.53251451,1.277891036,0.832793731,0.817220272
2035,0.633946622,1.056686526,0.549196577,1.311809446,0.859983202,0.848202007
2036,0.657997416,1.094052863,0.566101574,1.340623133,0.886342808,0.880410807
2037,0.672808781,1.127436352,0.587945902,1.375784629,0.913984673,0.904150921
2038,0.689700727,1.160989694,0.612307735,1.410020495,0.942811283,0.932510555
2039,0.713262871,1.182234933,0.637970337,1.446455644,0.972646744,0.956437349
2040,0.734511893,1.202519235,0.660685292,1.481622616,1.000173763,0.990240657
2041,0.755768199,1.231473157,0.684310836,1.520806155,1.027810048,1.020068692
2042,0.767114306,1.275722044,0.705059878,1.564721539,1.057594582,1.046760668
2043,0.786121819,1.32147645,0.726926832,1.609912078,1.087548152,1.080756232
2044,0.810115044,1.353604697,0.74597583,1.652657526,1.115264957,1.114683562
2045,0.824977373,1.385827932,0.763063656,1.690938589,1.143015677,1.144627734
