year,constrained 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2010,0.082431335,0.141894481,0.060638595,0.163359439,0.112165895,0.112322671
2011,0.100281673,0.171252823,0.074292648,0.196715728,0.135749387,0.135930908
2012,0.11745757,0.199707997,0.087184903,0.229133681,0.158546071,0.158702801
2013,0.134801207,0.226035879,0.10118334,0.258802914,0.180372387,0.1806292
2014,0.151911267,0.253054112,0.114601488,0.289362514,0.202410593,0.202636677
2015,0.169259262,0.283436055,0.127378951,0.324453392,0.226349782,0.226594273
2016,0.188180771,0.314454066,0.141594895,0.359910544,0.251342139,0.251660036
2017,0.207959501,0.346248082,0.157383325,0.395759764,0.277038503,0.27733307
2018,0.225529321,0.380058927,0.168632494,0.435509474,0.302762122,0.303267325
2019,0.243721602,0.413795706,0.180898897,0.474873665,0.328684099,0.329028594
2020,0.264519039,0.447914673,0.197162667,0.513494248,0.356199618,0.356682019
2021,0.288122033,0.482920235,0.216582353,0.552961679,0.385510687,0.386010006
2022,0.313736365,0.5226735,0.236749797,0.597354254,0.418054485,0.418635535
2023,0.333988964,0.561153004,0.250751622,0.642622904,0.447615482,0.448312166
2024,0.352925677,0.598178784,0.262722914,0.686027163,0.47545361,0.476085393
2025,0.373444575,0.637882833,0.27654601,0.732472162,0.505606106,0.506231965
2026,0.397542732,0.676027284,0.295333305,0.77610924,0.536796206,0.537584882
2027,0.421692183,0.714281276,0.314156996,0.819425219,0.567868806,0.568479387
2028,0.447764503,0.754909218,0.334678323,0.865259907,0.601217125,0.601969776
2029,0.474880382,0.794280374,0.357444087,0.90940617,0.634539496,0.635246003
2030,0.498287461,0.832491125,0.375382693,0.952268845,0.665336838,0.666307341
2031,0.522789068,0.871688668,0.393937772,0.997410066,0.697086268,0.697809726
2032,0.546130892,0.911343792,0.411889084,1.041843285,0.728366679,0.729051444
2033,0.570940216,0.952766133,0.430262365,1.08990249,0.761845521,0.762878097
2034,0.599312748,0.995417328,0.454314292,1.137100875,0.797385355,0.798579692
2035,0.624679899,1.036395581,0.473462875,1.183952137,0.830579303,0.831824967
2036,0.649741613,1.074932087,0.493424985,1.227640381,0.862363936,0.863618886
2037,0.675889902,1.113669817,0.514120252,1.270217587,0.894619693,0.895754451
2038,0.705943935,1.154534414,0.541015891,1.31566802,0.930067507,0.930997543
2039,0.738190573,1.199454578,0.568215861,1.364865791,0.968571694,0.969697791
2040,0.770983942,1.246667184,0.595328688,1.417394898,1.0088218,1.010432787
2041,0.799572058,1.292834209,0.618273422,1.469990138,1.045972741,1.047037408
2042,0.824667471,1.333990462,0.637785076,1.517550405,1.079564188,1.08078643
2043,0.856465547,1.380115185,0.664158363,1.568960336,1.118157034,1.119126835
2044,0.890380902,1.429065338,0.691808575,1.622894611,1.159833747,1.161473866
2045,0.923235199,1.475326229,0.719782626,1.674023313,1.199310554,1.200622444
2046,0.955786555,1.523744298,0.746828105,1.727575024,1.239693087,1.241627973
2047,0.987196649,1.571203522,0.77230012,1.780226857,1.278956092,1.28042205
2048,1.018684313,1.619177969,0.797193924,1.832691872,1.31877502,1.32082789
2049,1.054416616,1.66950949,0.827908864,1.891305615,1.361852936,1.363226203
2050,1.092196135,1.719197859,0.861939565,1.94382002,1.405537607,1.407143087
2051,1.127882216,1.767786509,0.892341625,1.998539958,1.447980078,1.449891075
2052,1.16624023,1.819366443,0.927717767,2.054464531,1.493067854,1.494380665
2053,1.205656685,1.873422065,0.959552761,2.113223676,1.539020409,1.540621394
2054,1.239182763,1.925063655,0.98728054,2.170975207,1.581633376,1.582858803
2055,1.272483825,1.974293196,1.0135041,2.226581595,1.623037473,1.625173274
2056,1.305428497,2.028142158,1.03978668,2.286576458,1.66649003,1.668371509
2057,1.343761794,2.08421917,1.071696911,2.350390841,1.713902573,1.715966638
2058,1.38021047,2.138035011,1.102328845,2.409116545,1.758811427,1.760553689
2059,1.411615768,2.189786133,1.126245157,2.468124448,1.800899803,1.803188337
2060,1.447561682,2.243498834,1.1547124,2.529850835,1.845175079,1.84692102
2061,1.485798555,2.299949229,1.186447534,2.592223876,1.892696568,1.89472557
2062,1.524966495,2.358168743,1.218824698,2.656226066,1.941266488,1.943698403
2063,1.566256771,2.414974095,1.252778493,2.718632925,1.990462436,1.992311328
2064,1.605010185,2.470719897,1.286646579,2.783956115,2.037806749,2.039845547
2065,1.639782698,2.527451595,1.315851343,2.845979725,2.08344634,2.085094389
2066,1.679344893,2.588509628,1.344365154,2.914681849,2.133908619,2.136846761
2067,1.719204458,2.645559096,1.378477812,2.978455535,2.182266454,2.185023267
2068,1.75756457,2.702693589,1.409860319,3.042522022,2.229989443,2.231915488
2069,1.793729237,2.760221647,1.435978177,3.108165602,2.277050046,2.280216369
2070,1.830759826,2.820322652,1.464707846,3.176198583,2.325365668,2.328253548
2071,1.867006706,2.882530787,1.494330281,3.248167012,2.374692575,2.377074464
2072,1.904618617,2.942395256,1.522168134,3.31343737,2.42304982,2.425996826
2073,1.943935879,3.005129354,1.554341264,3.384187888,2.474124984,2.477051758
2074,1.981801717,3.063039921,1.582391836,3.451407594,2.52272116,2.527072347
2075,2.025243323,3.131731935,1.617002547,3.527704584,2.577996682,2.580988368
2076,2.067057464,3.195934778,1.652110301,3.602012686,2.631280774,2.63409197
2077,2.105009389,3.260238031,1.679915413,3.673855358,2.682356404,2.685768133
2078,2.143183837,3.325790926,1.710694903,3.749864993,2.734603821,2.738082029
2079,2.186040929,3.390350139,1.744419764,3.822900494,2.788386327,2.792016843
2080,2.223749456,3.457827356,1.768933817,3.899961742,2.840554531,2.844133237
2081,2.259938639,3.521759939,1.79535636,3.973566399,2.890499699,2.894081213
2082,2.298701132,3.589256974,1.825254185,4.055055472,2.944200474,2.947862161
2083,2.337073875,3.65423306,1.852413215,4.127424947,2.995048257,2.998167752
2084,2.375902392,3.72331225,1.878734834,4.208231793,3.049052019,3.052046501
2085,2.416575452,3.793424753,1.908407559,4.285064141,3.104004563,3.107731798
2086,2.456376588,3.856306306,1.941046456,4.359746268,3.156364158,3.159659778
2087,2.497977851,3.926938877,1.972466057,4.442527591,3.211752746,3.215158122
2088,2.535063326,3.997413013,1.997928878,4.521182414,3.266994408,3.271232018
2089,2.580321874,4.065245821,2.034888496,4.597594181,3.322250383,3.325742732
2090,2.620826028,4.132551668,2.066999625,4.677094225,3.376767402,3.379882335
