,year,raw 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2010,0.094167123,0.189317864,0.082785117,0.234638302,0.148489744,0.150532765,
2011,0.120726087,0.227290009,0.102707068,0.279597971,0.176605231,0.175191581,
2012,0.145036771,0.265409963,0.117330982,0.319145377,0.204208341,0.200419647,
2013,0.160124956,0.300914851,0.145782997,0.359223324,0.231675285,0.233041719,
2014,0.181177193,0.334346819,0.162305476,0.404719234,0.259639305,0.259556448,
2015,0.211755056,0.367687136,0.176513104,0.451482269,0.289151805,0.282619749,
2016,0.232820683,0.407199033,0.190687154,0.500225433,0.31953136,0.316304761,
2017,0.260887436,0.444734694,0.209253641,0.551693399,0.351004367,0.343367488,
2018,0.283744571,0.486990832,0.233091432,0.601605777,0.383389598,0.372989673,
2019,0.306169451,0.528695728,0.249010911,0.65147452,0.415972503,0.405751129,
2020,0.327022881,0.567624798,0.268456047,0.702788901,0.449986532,0.444752073,
2021,0.362692731,0.605464905,0.293685318,0.749943625,0.485526038,0.47018718,
2022,0.392375891,0.649708942,0.317618173,0.794818223,0.521871409,0.506235895,
2023,0.423394424,0.688753457,0.336539901,0.844454132,0.556765234,0.542763101,
2024,0.441930427,0.731978242,0.352733282,0.895078101,0.590886849,0.574182052,
2025,0.470073472,0.774691647,0.370523022,0.944056403,0.626881024,0.615950987,
2026,0.493676003,0.823688537,0.395852859,0.994558163,0.662007554,0.651043978,
2027,0.523208622,0.873126486,0.422674552,1.046536729,0.699328617,0.688321334,
2028,0.548197881,0.924890018,0.448929681,1.103495597,0.738132051,0.727152287,
2029,0.572333097,0.978287062,0.474211759,1.160465693,0.777383894,0.763806048,
2030,0.60354663,1.034722084,0.499367397,1.216765655,0.815906415,0.805140071,
2031,0.635923115,1.089564439,0.52583381,1.274725027,0.855669011,0.844590596,
2032,0.667334144,1.143536969,0.554006551,1.337038657,0.894713308,0.880155123,
2033,0.696698517,1.202111358,0.584161229,1.40005787,0.934846661,0.91465163,
2034,0.726967188,1.25802933,0.612567309,1.458867949,0.975550777,0.948831626,
2035,0.758882583,1.313751284,0.638611471,1.516347018,1.01508728,0.988158505,
2036,0.790228771,1.374530452,0.661788538,1.581240882,1.054547902,1.026480824,
2037,0.820962875,1.436754649,0.69185095,1.638139659,1.094868306,1.068328703,
2038,0.854976585,1.49814723,0.724005794,1.690361755,1.136902754,1.108419541,
2039,0.891040623,1.550454084,0.755727272,1.755642237,1.182422712,1.150961561,
2040,0.924714439,1.59903824,0.786227671,1.825967729,1.228944663,1.195831289,
2041,0.958757217,1.647120311,0.81697397,1.890288135,1.273057221,1.243259152,
2042,0.994042108,1.695494271,0.846086955,1.955160218,1.315793847,1.288995749,
2043,1.030538742,1.740719074,0.878010262,2.016021506,1.361348748,1.344392451,
2044,1.067171545,1.783233501,0.915590236,2.074423511,1.408609722,1.395460557,
2045,1.098666898,1.83153253,0.946438128,2.133411726,1.45590843,1.449568322,
2046,1.134946626,1.882017823,0.982786034,2.200990578,1.503431378,1.496048456,
2047,1.176863721,1.930237862,1.018477369,2.261702466,1.550628826,1.54481567,
2048,1.212852355,1.98223524,1.056892133,2.326508524,1.597319352,1.593937827,
2049,1.252744283,2.032249063,1.088937381,2.401450814,1.646134231,1.648267216,
2050,1.290113535,2.082090946,1.132382255,2.477588122,1.696838883,1.701509644,
2051,1.328912439,2.132797077,1.173675764,2.542116938,1.746960395,1.755229058,
2052,1.369793165,2.185274284,1.214979461,2.605353089,1.798385118,1.799551201,
2053,1.401403264,2.239505242,1.250297765,2.67293736,1.85030416,1.859363666,
2054,1.439468244,2.291598844,1.288887307,2.749329617,1.901279693,1.915739267,
2055,1.480651944,2.345556172,1.32492117,2.827253891,1.951414646,1.967784841,
2056,1.51469267,2.393452121,1.363850515,2.903144004,2.003253235,2.022205591,
2057,1.55889603,2.444721135,1.40109552,2.983489071,2.057552182,2.082213324,
2058,1.60212303,2.498121068,1.438474989,3.063130484,2.111626564,2.140016343,
2059,1.641380049,2.548682405,1.474368685,3.142407626,2.162961962,2.19919826,
2060,1.691321981,2.601754844,1.51534369,3.217020627,2.215272459,2.259662919,
2061,1.732373201,2.65941357,1.552640072,3.293059429,2.270579777,2.318632321,
2062,1.770694034,2.732694313,1.593575877,3.371276263,2.32766562,2.376533357,
2063,1.811293189,2.795092335,1.639167701,3.451493089,2.383571561,2.437990715,
2064,1.848464602,2.853636316,1.680565785,3.533631586,2.439311293,2.492649431,
2065,1.891106631,2.919469067,1.715931021,3.616343406,2.494341055,2.535194138,
2066,1.933309021,2.986082583,1.755772997,3.696765942,2.550772828,2.599309649,
2067,1.969175384,3.064035794,1.792019009,3.775425824,2.606879696,2.653246619,
2068,2.012450457,3.141420478,1.825803438,3.85594361,2.663777612,2.703916657,
2069,2.056267328,3.217701206,1.8624337,3.93952975,2.719458149,2.758520982,
2070,2.098861731,3.294472004,1.901898109,4.026794254,2.77612035,2.811381834,
2071,2.133222663,3.379833227,1.940922208,4.11405685,2.834079735,2.862919588,
2072,2.166400839,3.465561631,1.979538407,4.195499957,2.891939714,2.916900773,
2073,2.208838821,3.54993861,2.022931788,4.277367662,2.950783165,2.972283685,
2074,2.247540949,3.6294346,2.067120412,4.36368556,3.010247267,3.028554888,
2075,2.286083392,3.71314734,2.110680697,4.452613953,3.072668925,3.082909123,
2076,2.334390374,3.804402029,2.152961608,4.540507369,3.135529904,3.137546552,
2077,2.389335294,3.895747864,2.195049986,4.625580644,3.195549274,3.197799142,
2078,2.433368111,3.985230778,2.240302347,4.710793524,3.25502743,3.257136001,
2079,2.488593803,4.070530158,2.281029389,4.79005695,3.316375327,3.314466951,
2080,2.53542962,4.154145968,2.307947827,4.871779955,3.377005551,3.371343962,
2081,2.583221572,4.245303492,2.343103075,4.961312148,3.43744413,3.428016384,
2082,2.636050874,4.341170572,2.379460723,5.0490701,3.49889235,3.482995774,
2083,2.687776998,4.423166233,2.411318532,5.132828518,3.560423534,3.536985759,
2084,2.738573703,4.519579293,2.446372656,5.217003927,3.623471706,3.592532444,
2085,2.785596268,4.612411787,2.482394904,5.30744489,3.687838716,3.654562726,
2086,2.832285588,4.688481902,2.521416908,5.396452032,3.75069836,3.714984002,
2087,2.884940873,4.765487955,2.557697905,5.482814377,3.813949614,3.773550824,
2088,2.935117105,4.848886197,2.589808038,5.569079439,3.877903548,3.839018798,
